<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SND-TDG,D,20210104,000000,122.2000000
SND-TDG,D,20210105,000000,121.0000000
SND-TDG,D,20210106,000000,123.7000000
SND-TDG,D,20210107,000000,126.2500000
SND-TDG,D,20210108,000000,128.3500000
SND-TDG,D,20210111,000000,126.8000000
SND-TDG,D,20210112,000000,126.2000000
SND-TDG,D,20210113,000000,125.8500000
SND-TDG,D,20210114,000000,124.0500000
SND-TDG,D,20210115,000000,124.7500000
SND-TDG,D,20210118,000000,123.7500000
SND-TDG,D,20210119,000000,123.4500000
SND-TDG,D,20210120,000000,123.9500000
SND-TDG,D,20210121,000000,125.2500000
SND-TDG,D,20210122,000000,125.5000000
SND-TDG,D,20210125,000000,125.6000000
SND-TDG,D,20210126,000000,125.4500000
SND-TDG,D,20210127,000000,122.2500000
SND-TDG,D,20210128,000000,124.3000000
SND-TDG,D,20210129,000000,120.8000000
SND-TDG,D,20210201,000000,123.6000000
SND-TDG,D,20210202,000000,125.8500000
SND-TDG,D,20210203,000000,126.2000000
SND-TDG,D,20210204,000000,125.8500000
SND-TDG,D,20210205,000000,124.5000000
SND-TDG,D,20210208,000000,125.7000000
SND-TDG,D,20210209,000000,123.7500000
SND-TDG,D,20210210,000000,123.2500000
SND-TDG,D,20210211,000000,125.7000000
SND-TDG,D,20210212,000000,129.1500000
SND-TDG,D,20210215,000000,128.8000000
SND-TDG,D,20210216,000000,129.6000000
SND-TDG,D,20210217,000000,127.6500000
SND-TDG,D,20210218,000000,126.1500000
SND-TDG,D,20210219,000000,129.3000000
SND-TDG,D,20210222,000000,126.2000000
SND-TDG,D,20210223,000000,124.5500000
SND-TDG,D,20210224,000000,124.3500000
SND-TDG,D,20210225,000000,123.9000000
SND-TDG,D,20210226,000000,122.7000000
SND-TDG,D,20210301,000000,124.3000000
SND-TDG,D,20210302,000000,126.3500000
SND-TDG,D,20210303,000000,124.5000000
SND-TDG,D,20210304,000000,121.9500000
SND-TDG,D,20210305,000000,124.7000000
SND-TDG,D,20210308,000000,123.8500000
SND-TDG,D,20210309,000000,124.8000000
SND-TDG,D,20210310,000000,126.8000000
SND-TDG,D,20210311,000000,127.9500000
SND-TDG,D,20210312,000000,127.2500000
SND-TDG,D,20210315,000000,126.1500000
SND-TDG,D,20210316,000000,127.1500000
SND-TDG,D,20210317,000000,126.7500000
SND-TDG,D,20210318,000000,127.1000000
SND-TDG,D,20210319,000000,125.7500000
SND-TDG,D,20210322,000000,127.3500000
SND-TDG,D,20210323,000000,125.4500000
SND-TDG,D,20210324,000000,123.8500000
SND-TDG,D,20210325,000000,126.1000000
SND-TDG,D,20210326,000000,126.0000000
SND-TDG,D,20210329,000000,126.7500000
SND-TDG,D,20210330,000000,127.9000000
SND-TDG,D,20210331,000000,130.5500000
SND-TDG,D,20210401,000000,131.6800000
SND-TDG,D,20210406,000000,132.5000000
SND-TDG,D,20210407,000000,132.5200000
SND-TDG,D,20210408,000000,134.6400000
SND-TDG,D,20210409,000000,135.8600000
SND-TDG,D,20210412,000000,133.5200000
SND-TDG,D,20210413,000000,133.8200000
SND-TDG,D,20210414,000000,132.2600000
SND-TDG,D,20210415,000000,135.4000000
SND-TDG,D,20210416,000000,137.7000000
SND-TDG,D,20210419,000000,137.5800000
SND-TDG,D,20210420,000000,135.7800000
SND-TDG,D,20210421,000000,135.8800000
SND-TDG,D,20210422,000000,136.5000000
SND-TDG,D,20210423,000000,137.4200000
SND-TDG,D,20210426,000000,136.7400000
SND-TDG,D,20210427,000000,138.1600000
SND-TDG,D,20210428,000000,136.4400000
SND-TDG,D,20210429,000000,134.7800000
SND-TDG,D,20210430,000000,133.5000000
SND-TDG,D,20210503,000000,134.3600000
SND-TDG,D,20210504,000000,132.1800000
SND-TDG,D,20210505,000000,134.9800000
SND-TDG,D,20210506,000000,134.7200000
SND-TDG,D,20210507,000000,135.1600000
SND-TDG,D,20210510,000000,131.2200000
SND-TDG,D,20210511,000000,128.9000000
SND-TDG,D,20210512,000000,126.7000000
SND-TDG,D,20210513,000000,127.5600000
SND-TDG,D,20210514,000000,131.8200000
SND-TDG,D,20210517,000000,130.7600000
SND-TDG,D,20210518,000000,129.4000000
SND-TDG,D,20210519,000000,127.3000000
SND-TDG,D,20210520,000000,128.2000000
SND-TDG,D,20210521,000000,129.7000000
SND-TDG,D,20210524,000000,129.2800000
SND-TDG,D,20210525,000000,129.0400000
SND-TDG,D,20210526,000000,129.3600000
SND-TDG,D,20210527,000000,129.8400000
SND-TDG,D,20210528,000000,130.4800000
SND-TDG,D,20210531,000000,129.4200000
SND-TDG,D,20210601,000000,130.6600000
SND-TDG,D,20210602,000000,131.4000000
SND-TDG,D,20210603,000000,130.4400000
SND-TDG,D,20210604,000000,130.8800000
SND-TDG,D,20210607,000000,130.9800000
SND-TDG,D,20210608,000000,132.2600000
SND-TDG,D,20210609,000000,131.5400000
SND-TDG,D,20210610,000000,130.5600000
SND-TDG,D,20210611,000000,130.5000000
SND-TDG,D,20210614,000000,130.6200000
SND-TDG,D,20210615,000000,133.1800000
SND-TDG,D,20210616,000000,133.3800000
SND-TDG,D,20210617,000000,132.4400000
SND-TDG,D,20210618,000000,131.6800000
SND-TDG,D,20210621,000000,134.6800000
SND-TDG,D,20210622,000000,136.0800000
SND-TDG,D,20210623,000000,134.4800000
SND-TDG,D,20210624,000000,137.1600000
SND-TDG,D,20210625,000000,136.7000000
SND-TDG,D,20210628,000000,136.8000000
SND-TDG,D,20210629,000000,134.7200000
SND-TDG,D,20210630,000000,133.0000000
SND-TDG,D,20210701,000000,133.7000000
SND-TDG,D,20210702,000000,134.2200000
SND-TDG,D,20210705,000000,135.2800000
SND-TDG,D,20210706,000000,136.1400000
SND-TDG,D,20210707,000000,136.7600000
SND-TDG,D,20210708,000000,133.6400000
SND-TDG,D,20210709,000000,137.2600000
SND-TDG,D,20210712,000000,138.5000000
SND-TDG,D,20210713,000000,138.1800000
SND-TDG,D,20210714,000000,136.8200000
SND-TDG,D,20210715,000000,135.9600000
SND-TDG,D,20210716,000000,133.4800000
SND-TDG,D,20210719,000000,132.0200000
SND-TDG,D,20210720,000000,133.9000000
SND-TDG,D,20210721,000000,136.0000000
SND-TDG,D,20210722,000000,139.1600000
SND-TDG,D,20210723,000000,140.3000000
SND-TDG,D,20210726,000000,140.2200000
SND-TDG,D,20210727,000000,139.1400000
SND-TDG,D,20210728,000000,138.7200000
SND-TDG,D,20210729,000000,139.1000000
SND-TDG,D,20210730,000000,141.1800000
SND-TDG,D,20210802,000000,141.6200000
SND-TDG,D,20210803,000000,144.3600000
SND-TDG,D,20210804,000000,148.0200000
SND-TDG,D,20210805,000000,147.2200000
SND-TDG,D,20210806,000000,147.5600000
SND-TDG,D,20210809,000000,147.7000000
SND-TDG,D,20210810,000000,149.3200000
SND-TDG,D,20210811,000000,152.0400000
SND-TDG,D,20210812,000000,151.8800000
SND-TDG,D,20210813,000000,152.9400000
SND-TDG,D,20210816,000000,154.0000000
SND-TDG,D,20210817,000000,154.7200000
SND-TDG,D,20210818,000000,154.1800000
SND-TDG,D,20210819,000000,154.0200000
SND-TDG,D,20210820,000000,152.9600000
SND-TDG,D,20210823,000000,152.5800000
SND-TDG,D,20210824,000000,152.5400000
SND-TDG,D,20210825,000000,151.7600000
SND-TDG,D,20210826,000000,151.3200000
SND-TDG,D,20210827,000000,152.2800000
SND-TDG,D,20210830,000000,152.5800000
SND-TDG,D,20210831,000000,151.5200000
SND-TDG,D,20210901,000000,153.0400000
SND-TDG,D,20210902,000000,154.1400000
SND-TDG,D,20210903,000000,153.8600000
SND-TDG,D,20210906,000000,155.1400000
SND-TDG,D,20210907,000000,154.1800000
SND-TDG,D,20210908,000000,150.8800000
SND-TDG,D,20210909,000000,151.3800000
SND-TDG,D,20210910,000000,152.3600000
SND-TDG,D,20210913,000000,153.6200000
SND-TDG,D,20210914,000000,154.2600000
SND-TDG,D,20210915,000000,154.3400000
SND-TDG,D,20210916,000000,157.8200000
SND-TDG,D,20210917,000000,153.6000000
SND-TDG,D,20210920,000000,146.5400000
SND-TDG,D,20210921,000000,148.0800000
SND-TDG,D,20210922,000000,151.8200000
SND-TDG,D,20210923,000000,152.1800000
SND-TDG,D,20210924,000000,150.7200000
SND-TDG,D,20210927,000000,148.0600000
SND-TDG,D,20210928,000000,144.2600000
SND-TDG,D,20210929,000000,144.4200000
SND-TDG,D,20210930,000000,142.6400000
SND-TDG,D,20211001,000000,143.2800000
SND-TDG,D,20211004,000000,140.9800000
SND-TDG,D,20211005,000000,142.7000000
SND-TDG,D,20211006,000000,141.0600000
SND-TDG,D,20211007,000000,143.0800000
SND-TDG,D,20211008,000000,140.6600000
SND-TDG,D,20211011,000000,137.7400000
SND-TDG,D,20211012,000000,139.2600000
SND-TDG,D,20211013,000000,141.2800000
SND-TDG,D,20211014,000000,144.5000000
SND-TDG,D,20211015,000000,144.6000000
SND-TDG,D,20211018,000000,142.4600000
SND-TDG,D,20211019,000000,143.1400000
SND-TDG,D,20211020,000000,142.9000000
SND-TDG,D,20211021,000000,141.0600000
SND-TDG,D,20211022,000000,142.1600000
SND-TDG,D,20211025,000000,140.7000000
SND-TDG,D,20211026,000000,143.0000000
SND-TDG,D,20211027,000000,145.7800000
SND-TDG,D,20211028,000000,149.3600000
SND-TDG,D,20211029,000000,149.3400000
SND-TDG,D,20211101,000000,149.1800000
SND-TDG,D,20211102,000000,150.2400000
SND-TDG,D,20211103,000000,153.3400000
SND-TDG,D,20211104,000000,154.1200000
SND-TDG,D,20211105,000000,153.0000000
SND-TDG,D,20211108,000000,154.4000000
SND-TDG,D,20211109,000000,154.6200000
SND-TDG,D,20211110,000000,153.2000000
SND-TDG,D,20211111,000000,154.5600000
SND-TDG,D,20211112,000000,156.0800000
SND-TDG,D,20211115,000000,155.7800000
SND-TDG,D,20211116,000000,155.3000000
SND-TDG,D,20211117,000000,158.7800000
SND-TDG,D,20211118,000000,159.7600000
SND-TDG,D,20211119,000000,161.0600000
SND-TDG,D,20211122,000000,161.1000000
SND-TDG,D,20211123,000000,160.6000000
SND-TDG,D,20211124,000000,156.4400000
SND-TDG,D,20211125,000000,155.7400000
SND-TDG,D,20211126,000000,152.1600000
SND-TDG,D,20211129,000000,152.0800000
SND-TDG,D,20211130,000000,156.6800000
SND-TDG,D,20211201,000000,158.6800000
SND-TDG,D,20211202,000000,161.8600000
SND-TDG,D,20211203,000000,160.5000000
SND-TDG,D,20211206,000000,161.8200000
SND-TDG,D,20211207,000000,167.0600000
SND-TDG,D,20211208,000000,166.9600000
SND-TDG,D,20211209,000000,167.5400000
SND-TDG,D,20211210,000000,167.6400000
SND-TDG,D,20211213,000000,166.6200000
SND-TDG,D,20211214,000000,163.3000000
SND-TDG,D,20211215,000000,166.7000000
SND-TDG,D,20211216,000000,167.1600000
SND-TDG,D,20211217,000000,165.5000000
SND-TDG,D,20211220,000000,165.7000000
SND-TDG,D,20211221,000000,167.6200000
SND-TDG,D,20211222,000000,168.2800000
SND-TDG,D,20211223,000000,170.2200000
SND-TDG,D,20211227,000000,173.2000000
SND-TDG,D,20211228,000000,173.3600000
SND-TDG,D,20211229,000000,173.2200000
SND-TDG,D,20211230,000000,173.1200000
SND-TDG,D,20220103,000000,176.7800000
SND-TDG,D,20220104,000000,177.2200000
SND-TDG,D,20220105,000000,175.0000000
SND-TDG,D,20220107,000000,169.0000000
SND-TDG,D,20220110,000000,161.8400000
SND-TDG,D,20220112,000000,168.8000000
SND-TDG,D,20220113,000000,166.6600000
SND-TDG,D,20220117,000000,163.3600000
SND-TDG,D,20220119,000000,159.7600000
SND-TDG,D,20220120,000000,159.5200000
SND-TDG,D,20220121,000000,155.7200000
SND-TDG,D,20220124,000000,152.7000000
SND-TDG,D,20220125,000000,151.1000000
SND-TDG,D,20220127,000000,150.5000000
SND-TDG,D,20220128,000000,149.3000000
SND-TDG,D,20220131,000000,150.2200000
SND-TDG,D,20220202,000000,154.9800000
SND-TDG,D,20220203,000000,148.2200000
SND-TDG,D,20220204,000000,146.6000000
SND-TDG,D,20220207,000000,147.3600000
SND-TDG,D,20220208,000000,147.9200000
SND-TDG,D,20220209,000000,150.7800000
SND-TDG,D,20220210,000000,150.0800000
SND-TDG,D,20220211,000000,144.6600000
SND-TDG,D,20220214,000000,141.3200000
SND-TDG,D,20220215,000000,146.9600000
SND-TDG,D,20220216,000000,146.3800000
SND-TDG,D,20220217,000000,145.2800000
SND-TDG,D,20220218,000000,144.4200000
SND-TDG,D,20220221,000000,135.3000000
SND-TDG,D,20220222,000000,139.1200000
SND-TDG,D,20220223,000000,138.3400000
SND-TDG,D,20220224,000000,136.8800000
SND-TDG,D,20220225,000000,141.1000000
SND-TDG,D,20220228,000000,139.6800000
SND-TDG,D,20220301,000000,132.6800000
SND-TDG,D,20220302,000000,137.9400000
SND-TDG,D,20220303,000000,136.2200000
SND-TDG,D,20220307,000000,128.0200000
SND-TDG,D,20220308,000000,138.0000000
SND-TDG,D,20220309,000000,145.5600000
SND-TDG,D,20220310,000000,140.6600000
SND-TDG,D,20220311,000000,140.6600000
SND-TDG,D,20220314,000000,144.9200000
SND-TDG,D,20220315,000000,146.8600000
SND-TDG,D,20220316,000000,153.8800000
SND-TDG,D,20220318,000000,151.4400000
SND-TDG,D,20220321,000000,150.1400000
SND-TDG,D,20220323,000000,151.2200000
