$x$,$y_1$,$u_1$,$$\mid u_1 - y_1\mid$$
0.0,0.7071067811865475,0.7071067811865475,0.0
0.25,0.5953794618936874,0.5953418245595662,3.763733412120995e-05
0.5,0.45516110141834376,0.45511047641185903,5.062500648472801e-05
0.75,0.31255632087797713,0.3125138355922686,4.2485285708548925e-05
1.0,0.1865544767770587,0.18654356477166084,1.0912005397850644e-05
1.25,0.0868113628504781,0.08684723199450378,3.586914402568808e-05
1.5,0.015321775091512974,0.015404781515025492,8.300642351251851e-05
1.75,-0.03063607269527452,-0.030517177497581344,0.00011889519769317514
2.0,-0.05594936837135983,-0.05581056601064383,0.0001388023607159991
2.25,-0.0659876972787596,-0.06584429085151261,0.0001434064272469865
2.5,-0.06567757115121717,-0.06554143591823065,0.00013613523298651453
2.75,-0.05908944527214152,-0.05896830204590676,0.0001211432262347642
3.0,-0.04933004883851279,-0.04922785005319204,0.00010219878532075066
3.25,-0.038599879051014176,-0.038517647076559636,8.223197445453995e-05
3.5,-0.028328916584278767,-0.028265657109657404,6.325947462136258e-05
3.75,-0.019338862321472965,-0.01929237200846521,4.649031300775486e-05
4.0,-0.012002391253746456,-0.011969892964138872,3.24982896075833e-05
4.25,-0.006383850589768047,-0.006362449054364513,2.1401535403533893e-05
4.5,-0.002354606728567357,-0.002341585323317062,1.3021405250294906e-05
4.75,0.00031829992425301936,0.00032531019096420044,7.0102667111810834e-06
5.0,0.0019083105769651,0.0019112573863128354,2.946809347735514e-06
